ID,Title,Description,Status,Priority,Assignee,Assignee Email,Due Date,Created By,Created At,Updated At
"507f1f77bcf86cd799439011","Set up development environment","Configure Docker, Node.js, and MongoDB for the project","done","high","Admin User","admin@example.com","2024-01-15T00:00:00.000Z","Admin User","2024-01-10T09:00:00.000Z","2024-01-14T16:30:00.000Z"
"507f1f77bcf86cd799439012","Implement user authentication","Create JWT-based authentication system with login and registration","done","high","Admin User","admin@example.com","2024-01-20T00:00:00.000Z","Admin User","2024-01-15T10:00:00.000Z","2024-01-19T14:20:00.000Z"
"507f1f77bcf86cd799439013","Design database schema","Create MongoDB schemas for users, projects, and tasks","done","med","Member User","member@example.com","2024-01-18T00:00:00.000Z","Admin User","2024-01-16T11:00:00.000Z","2024-01-17T13:45:00.000Z"
"507f1f77bcf86cd799439014","Build project management API","Implement CRUD operations for projects with role-based access","in_progress","high","Admin User","admin@example.com","2024-02-01T00:00:00.000Z","Admin User","2024-01-20T08:30:00.000Z","2024-01-25T10:15:00.000Z"
"507f1f77bcf86cd799439015","Create task management system","Build API endpoints for task CRUD with filtering and pagination","in_progress","high","Member User","member@example.com","2024-02-05T00:00:00.000Z","Admin User","2024-01-22T09:15:00.000Z","2024-01-26T11:30:00.000Z"
"507f1f77bcf86cd799439016","Implement dashboard analytics","Create KPI dashboard with charts and project summaries","todo","med","Member User","member@example.com","2024-02-10T00:00:00.000Z","Admin User","2024-01-25T14:00:00.000Z","2024-01-25T14:00:00.000Z"
"507f1f77bcf86cd799439017","Add CSV export functionality","Allow users to export project tasks to CSV format","todo","low","Admin User","admin@example.com","2024-02-15T00:00:00.000Z","Admin User","2024-01-26T16:20:00.000Z","2024-01-26T16:20:00.000Z"
"507f1f77bcf86cd799439018","Write unit tests","Create comprehensive test suite for backend APIs","todo","med","Member User","member@example.com","2024-02-20T00:00:00.000Z","Admin User","2024-01-28T10:45:00.000Z","2024-01-28T10:45:00.000Z"
"507f1f77bcf86cd799439019","Build React frontend","Create responsive UI using Material-UI components","todo","high","Admin User","admin@example.com","2024-02-25T00:00:00.000Z","Admin User","2024-01-30T12:00:00.000Z","2024-01-30T12:00:00.000Z"
"507f1f77bcf86cd799439020","Deploy to production","Set up CI/CD pipeline and deploy application","todo","low","Admin User","admin@example.com","2024-03-01T00:00:00.000Z","Admin User","2024-02-01T15:30:00.000Z","2024-02-01T15:30:00.000Z"
